Time,VehicleID,Speed,BrakeStatus,Phase,Direction,HardBraking,NEWS_Score,Speed_Normalized
1970-01-01 00:00:00.000000025,2,13.89,0,NS_Green,North,0,0,1.0
1970-01-01 00:00:00.000000025,3,12.5,0,NS_Green,East,0,0,0.8999280057595392
1970-01-01 00:00:00.000000025,2,13.89,0,NS_Green,North,0,0,1.0
1970-01-01 00:00:00.000000025,3,12.5,0,NS_Green,East,0,0,0.8999280057595392
1970-01-01 00:00:00.000000026,2,13.89,0,NS_Green,North,0,0,1.0
1970-01-01 00:00:00.000000026,3,12.5,0,NS_Green,East,0,0,0.8999280057595392
1970-01-01 00:00:00.000000026,2,13.89,0,NS_Green,North,0,0,1.0
1970-01-01 00:00:00.000000026,3,12.5,0,NS_Green,East,0,0,0.8999280057595392
1970-01-01 00:00:00.000000027,2,13.89,0,NS_Green,North,0,0,1.0
1970-01-01 00:00:00.000000027,3,12.5,0,NS_Green,East,0,0,0.8999280057595392
1970-01-01 00:00:00.000000027,4,10.0,0,NS_Green,East,0,0,0.7199424046076314
1970-01-01 00:00:00.000000027,2,13.89,0,NS_Green,North,0,0,1.0
1970-01-01 00:00:00.000000027,3,12.5,0,NS_Green,South,0,0,0.8999280057595392
1970-01-01 00:00:00.000000027,4,7.5,1,NS_Green,East,0,4,0.5399568034557235
1970-01-01 00:00:00.000000028,3,12.5,0,NS_Green,South,0,0,0.8999280057595392
1970-01-01 00:00:00.000000028,4,5.0,1,NS_Green,East,0,4,0.3599712023038157
1970-01-01 00:00:00.000000028,2,13.89,0,NS_Green,North,0,0,1.0
1970-01-01 00:00:00.000000028,2,13.89,0,NS_Green,North,0,0,1.0
1970-01-01 00:00:00.000000028,3,12.5,0,NS_Green,South,0,0,0.8999280057595392
1970-01-01 00:00:00.000000028,4,4.41,1,NS_Green,East,0,4,0.3174946004319654
1970-01-01 00:00:00.000000029,2,13.89,0,NS_Green,South,0,0,1.0
1970-01-01 00:00:00.000000029,3,12.5,0,NS_Green,South,0,0,0.8999280057595392
1970-01-01 00:00:00.000000029,4,3.85,1,NS_Green,East,0,4,0.27717782577393807
1970-01-01 00:00:00.000000029,2,13.89,0,NS_Green,South,0,0,1.0
1970-01-01 00:00:00.000000029,3,12.5,0,NS_Green,South,0,0,0.8999280057595392
1970-01-01 00:00:00.000000029,4,3.25,1,NS_Green,East,0,4,0.23398128149748018
1970-01-01 00:00:00.000000030,2,13.89,0,NS_Green,South,0,0,1.0
1970-01-01 00:00:00.000000030,3,12.5,0,NS_Green,South,0,0,0.8999280057595392
1970-01-01 00:00:00.000000030,4,2.6,1,NS_Green,East,0,4,0.18718502519798416
1970-01-01 00:00:00.000000030,2,13.89,0,NS_Green,South,0,0,1.0
1970-01-01 00:00:00.000000030,3,12.5,0,NS_Green,South,0,0,0.8999280057595392
1970-01-01 00:00:00.000000030,4,1.92,1,NS_Green,East,0,4,0.1382289416846652
